Pattern A,Pattern B,Similarity Score
Core Properties,Types and Classifications,0.4876651578659454
Core Properties,Types of Types,0.4375281494470136
Core Properties,Names and Identifiers for a Resource,0.25383322750236814
Core Properties,Identifiers,0.24942336792490832
Core Properties,Statements about a Resource,0.2760049862254719
Core Properties,Parts,0.2807274278343057
Core Properties,Membership,0.3218759680227558
Core Properties,Events and Activities,0.2140249454492791
Core Properties,Time Span Details,0.11602974858031964
Core Properties,Base Production Activity,0.2502095976874791
Core Properties,Techniques,0.2904170414948017
Core Properties,Classifications,0.29508520205586114
Core Properties,Multiple Artists,0.2580546270615973
Core Properties,Inspiration or Copies,0.28548898916823656
Core Properties,Reproduction from an Identifiable Source,0.19649625129647733
Core Properties,Attribution of a Group,0.2551591309624818
Core Properties,Uncertain or Changing Attributions,0.24319248944101354
Core Properties,Production by Removal,0.0
Core Properties,Destruction ,0.26273692902292367
Core Properties,Cause of Destruction,0.24663404094353802
Core Properties,Other Specific Activities,0.2433213954807158
Core Properties,Dimensions,0.2756200381841407
Core Properties,Dimension Statement,0.1998358080952437
Core Properties,Dimension Display Labels,0.2896048380616897
Core Properties,Measurements of Dimensions,0.2490809695426097
Core Properties,Colors,0.2986128883674882
Core Properties,Shapes,0.3066110333867636
Core Properties,Materials,0.24257783152506687
Core Properties,Materials Statement,0.22997726034772706
Core Properties,Environmental conditions,0.26247180005591353
Core Properties,Parts,0.2242763700772323
Core Properties,Sides of an Object,0.32203538698723994
Core Properties,Description,0.2967106436540483
Core Properties,Depiction,0.0
Core Properties,Subject,0.3019769750411643
Core Properties,Style Classification,0.31770003560058124
Core Properties,Other Classifications,0.33517998771078383
Core Properties,Objects Carrying Textual Works,0.25214350042910927
Core Properties,"Single Object, Multiple Works",0.25424021738127794
Core Properties,"Single Object, Single Textual and Visual Work",0.38838418215338466
Core Properties,Related Objects,0.3483281528306549
Core Properties,Ownership,0.2947938149151866
Core Properties,Custody,0.3646144636543317
Core Properties,Location,0.3080198808897833
Core Properties,Credit / Attribution Statement,0.3002590895937122
Core Properties,Rights Statement,0.3180851017657742
Core Properties,RightsStatements.org Assertions,0.0
Core Properties,Digital Objects,0.20432882372980127
Core Properties,Digital Images,0.25640236794403637
Core Properties,Digital Surrogates,0.276567440618634
Core Properties,Home Page,0.26811592211939894
Core Properties,Other Pages,0.21838693778967408
Core Properties,IIIF Images,0.2310072063662448
Core Properties,IIIF Manifests,0.17464095532315085
Core Properties,Core Information,0.1225213395717315
Core Properties,Geospatial Location,0.20372116096040357
Core Properties,Geospatial Approximation,0.27894360146158875
Core Properties,"Buildings and ""Immovable"" Objects",0.35238661619263184
Core Properties,Types,0.29778031001287936
Core Properties,Names,0.15669154713336475
Core Properties,Parts of Names,0.0
Core Properties,Identity,0.20081761152859257
Core Properties,Equivalent Resources,0.22034892164109882
Core Properties,Addresses,0.0
Core Properties,Birth and Death / Formation and Dissolution,0.22356340710228212
Core Properties,Active Dates,0.22184893026359903
Core Properties,Biography,0.2917321756371353
Core Properties,Nationality,0.29397798347321624
Core Properties,Ethnicity,0.25075357100377704
Core Properties,Gender,0.2693623221330981
Core Properties,Digital Integration,0.17791550960694733
Core Properties,Organization Membership,0.24620018307822375
Core Properties,Provenance Event,0.213724004215572
Core Properties,Classifications,0.24592116545267056
Core Properties,Relative Times,0.23376054086240497
Core Properties,"Object Acquisition
",0.23383721829480808
Core Properties,"Multiple Owners
",0.21295103542652838
Core Properties,Agents,0.2464942555131705
Core Properties,Exchange of Objects,0.1749159074565431
Core Properties,Payments,0.0
Core Properties,"Payment for Services
",0.22767987941110382
Core Properties,Loans,0.20500785893166631
Core Properties,"Institutional Ownership, Departmental Custody",0.20585746681471448
Core Properties,Loss,0.19843501462138455
Core Properties,Theft,0.24409179031604739
Core Properties,Sale of Stolen or Looted Objects,0.14337060244114536
Core Properties,Rights and their Acquisition,0.1304299603281034
Core Properties,Multiple Owners with Different Stakes,0.23551152052299582
Core Properties,Transfer of Shares,0.2996687861696598
Core Properties,Intellectual Property Rights,0.21308944492326104
Core Properties,Encounters,0.0
Core Properties,Promised Gift,0.1405204725561744
Core Properties,Commissions for Artwork,0.18069802958469336
Core Properties,Auction,0.19890378799665093
Core Properties,Auction of Lot,0.2425448950254644
Core Properties,Known Bid Amounts,0.1617452962978832
Core Properties,Set of Objects,0.18072495341933176
Core Properties,Pre-set Prices,0.2331243121105539
Core Properties,Purchase of Lot,0.1719580612232273
Core Properties,Lot Withdrawn,0.21724069241418686
Core Properties,Object Withdrawn from Lot,0.26102955443145903
Core Properties,Reserve Not Met,0.21353420495012612
Core Properties,Bought by Owner,0.29417855548300875
Core Properties,"Winner Unable to Pay
",0.25265066746104026
Core Properties,Auction Catalog,0.24516036501019228
Core Properties,Moving an Object,0.2215679603054941
Core Properties,Taking Inventory,0.24567434802362256
Core Properties,Object Ownership and Existence,0.1325471498116656
Core Properties,Core Features,0.2755454480703315
Core Properties,Collections of Objects,0.2145494788186161
Core Properties,Departmental Collections,0.24927009513202739
Core Properties,Other Uses,0.25019886858491175
Core Properties,Collection Specific Information,0.2185248290166791
Core Properties,Adding and Removing Resources,0.23402375571016992
Core Properties,Exhibition Concept,0.20307266390020265
Core Properties,Exhibition Activity,0.26151300911599545
Core Properties,Multiple Venues,0.2158110191693295
Core Properties,Objects,0.31881807227706804
Core Properties,Exhibition Provenance: Transfer of Custody,0.187470093645014
Core Properties,Exhibition Provenance: Internal Moves,0.2258272044963973
Core Properties,Exhibition Specific Labels,0.22368296036224178
Core Properties,Depiction of the Object at the Exhibition,0.2521434769327691
Types and Classifications,Types of Types,0.7885482129135586
Types and Classifications,Names and Identifiers for a Resource,0.359098053056618
Types and Classifications,Identifiers,0.37389623348670087
Types and Classifications,Statements about a Resource,0.4539340150614484
Types and Classifications,Parts,0.491933236912084
Types and Classifications,Membership,0.42403227760942497
Types and Classifications,Events and Activities,0.2351644720160614
Types and Classifications,Time Span Details,0.18869947301002502
Types and Classifications,Base Production Activity,0.48494905007207645
Types and Classifications,Techniques,0.5582119904316039
Types and Classifications,Classifications,0.49520105124003494
Types and Classifications,Multiple Artists,0.5555673434557202
Types and Classifications,Inspiration or Copies,0.6699455672417103
Types and Classifications,Reproduction from an Identifiable Source,0.3981854245128245
Types and Classifications,Attribution of a Group,0.5031697381642003
Types and Classifications,Uncertain or Changing Attributions,0.5170595459324989
Types and Classifications,Production by Removal,0.0
Types and Classifications,Destruction ,0.5038270560420867
Types and Classifications,Cause of Destruction,0.5094215243430561
Types and Classifications,Other Specific Activities,0.5751847885812821
Types and Classifications,Dimensions,0.6039413480084876
Types and Classifications,Dimension Statement,0.5157888104675661
