Recipe A,Recipe B,Similarity Score
Simplest Manifest - Single Image File,Simplest Manifest - Audio,0.357173536105836
Simplest Manifest - Single Image File,Simplest Manifest - Video,0.40313268896039767
Simplest Manifest - Single Image File,Image and Canvas with Differing Dimensions,0.3175514683274945
Simplest Manifest - Single Image File,Support Deep Viewing with Basic Use of a IIIF Image Service,0.42932658433294263
Simplest Manifest - Single Image File,Internationalization and Multi-language Values,0.21247587992787925
Simplest Manifest - Single Image File,Embedding HTML in descriptive properties,0.24419621885408768
Simplest Manifest - Single Image File,Rights statement,0.2512971070540739
Simplest Manifest - Single Image File,Simple Manifest - Book,0.33762538005249454
Simplest Manifest - Single Image File,Viewing direction and Its Effect on Navigation,0.25980138797725494
Simplest Manifest - Single Image File,"Book 'behavior' Variations (continuous, individuals)",0.2834504425893597
Simplest Manifest - Single Image File,Load a Preview Image Before the Main Content,0.21442034420659853
Simplest Manifest - Single Image File,Audio Presentation with Accompanying Image,0.24834614669183416
Simplest Manifest - Single Image File,Begin playback at a specific point - Time-based media,0.1714822501131222
Simplest Manifest - Single Image File,Providing Access to Transcript Files of A/V Content,0.19285444277373706
Simplest Manifest - Single Image File,HTML in Annotations,0.24095522934950458
Simplest Manifest - Single Image File,Simple Annotation — Tagging,0.30010707735598735
Simplest Manifest - Single Image File,Table of Contents for Book Chapters,0.27359468705676615
Simplest Manifest - Single Image File,Table of Contents for A/V Content,0.19153993280734796
Simplest Manifest - Single Image File,Metadata on any Resource,0.2115910534540032
Simplest Manifest - Single Image File,Multi-volume Work with Individually-bound Volumes,0.1483366851859785
Simplest Manifest - Single Image File,Multiple Volumes in a Single Bound Volume,0.24546911768187593
Simplest Manifest - Single Image File,Simple Collection,0.20002139310911168
Simplest Manifest - Single Image File,Providing Alternative Representations,0.32190072104705647
Simplest Manifest - Single Image File,Linking to Web Page of an Object,0.27527028331197406
Simplest Manifest - Single Image File,Linking to Structured Metadata,0.3254942981361104
Simplest Manifest - Single Image File,Table of Contents for Multiple A/V Files on a Single Canvas,0.20492961585195113
Simplest Manifest - Single Image File,Table of Contents for Multiple A/V Files on Multiple Canvases,0.1974259990439125
Simplest Manifest - Single Image File,Basic Newspaper,0.18371223281825774
Simplest Manifest - Single Image File,Using Caption and Subtitle Files in Multiple Languages with Video Content,0.18196796988195618
Simplest Manifest - Single Image File,Image Thumbnail for Manifest,0.30769705887535764
Simplest Manifest - Single Image File,Displaying Multiple Values with Language Maps,0.2021240919705353
Simplest Manifest - Single Image File,Represent Canvas Fragment as a Geographic Area in a Web Mapping Client,0.2103610310570113
Simplest Manifest - Single Image File,Locate a Manifest on a Web Map,0.23523862295428252
Simplest Manifest - Single Image File,Load Manifest Beginning with a Specific Canvas,0.32350027608776327
Simplest Manifest - Single Image File,Using Caption and Subtitle Files with Video Content,0.18382660836732417
Simplest Manifest - Single Image File,Navigation by Chronology,0.14492259831856016
Simplest Manifest - Single Image File,Acknowledge Content Contributors,0.22720280458263983
Simplest Manifest - Single Image File,Locate Multiple Canvases on a Web Map,0.22577812941638747
Simplest Manifest - Single Image File,Annotation with a Non-Rectangular Polygon (Updated),0.16308611526680888
Simplest Manifest - Single Image File,Simplest Annotation,0.32303203717870077
Simplest Manifest - Single Image File,Embedded or referenced Annotations,0.16909233313756647
Simplest Manifest - Single Image File,Missing Images in a Sequence,0.33827747061549535
Simplest Manifest - Single Image File,Addressing a Spatial Region,0.29028422971061124
Simplest Manifest - Single Image File,Image in Annotations,0.3568335974821258
Simplest Manifest - Audio,Simplest Manifest - Single Image File,0.357173536105836
Simplest Manifest - Audio,Simplest Manifest - Video,0.34817825305259503
Simplest Manifest - Audio,Image and Canvas with Differing Dimensions,0.20231098142966747
Simplest Manifest - Audio,Support Deep Viewing with Basic Use of a IIIF Image Service,0.22282093401528552
Simplest Manifest - Audio,Internationalization and Multi-language Values,0.1307717661022385
Simplest Manifest - Audio,Embedding HTML in descriptive properties,0.15140885847705604
Simplest Manifest - Audio,Rights statement,0.15563026374609146
Simplest Manifest - Audio,Simple Manifest - Book,0.21151474288098512
Simplest Manifest - Audio,Viewing direction and Its Effect on Navigation,0.16205243331233882
Simplest Manifest - Audio,"Book 'behavior' Variations (continuous, individuals)",0.18012537073554077
Simplest Manifest - Audio,Load a Preview Image Before the Main Content,0.1675472812314145
Simplest Manifest - Audio,Audio Presentation with Accompanying Image,0.35257002971319423
Simplest Manifest - Audio,Begin playback at a specific point - Time-based media,0.16051435263452157
Simplest Manifest - Audio,Providing Access to Transcript Files of A/V Content,0.17825852476099915
Simplest Manifest - Audio,HTML in Annotations,0.17188294977250018
Simplest Manifest - Audio,Simple Annotation — Tagging,0.19611928790840819
Simplest Manifest - Audio,Table of Contents for Book Chapters,0.18173918162900593
Simplest Manifest - Audio,Table of Contents for A/V Content,0.16616067250283378
Simplest Manifest - Audio,Metadata on any Resource,0.1294064086526015
Simplest Manifest - Audio,Multi-volume Work with Individually-bound Volumes,0.11692432602182563
Simplest Manifest - Audio,Multiple Volumes in a Single Bound Volume,0.16300104742779253
Simplest Manifest - Audio,Simple Collection,0.15636159606680153
Simplest Manifest - Audio,Providing Alternative Representations,0.2019533963268633
Simplest Manifest - Audio,Linking to Web Page of an Object,0.19265387407250723
Simplest Manifest - Audio,Linking to Structured Metadata,0.20413451118896492
Simplest Manifest - Audio,Table of Contents for Multiple A/V Files on a Single Canvas,0.18389399867608888
Simplest Manifest - Audio,Table of Contents for Multiple A/V Files on Multiple Canvases,0.16921574755888624
Simplest Manifest - Audio,Basic Newspaper,0.1425802852596398
Simplest Manifest - Audio,Using Caption and Subtitle Files in Multiple Languages with Video Content,0.1576699352276862
Simplest Manifest - Audio,Image Thumbnail for Manifest,0.15852633592354423
Simplest Manifest - Audio,Displaying Multiple Values with Language Maps,0.15329622211218796
Simplest Manifest - Audio,Represent Canvas Fragment as a Geographic Area in a Web Mapping Client,0.15725883231316962
Simplest Manifest - Audio,Locate a Manifest on a Web Map,0.1649489373700926
Simplest Manifest - Audio,Load Manifest Beginning with a Specific Canvas,0.21278353351153945
Simplest Manifest - Audio,Using Caption and Subtitle Files with Video Content,0.16548193754237023
Simplest Manifest - Audio,Navigation by Chronology,0.09137703659613779
Simplest Manifest - Audio,Acknowledge Content Contributors,0.13299400991132096
Simplest Manifest - Audio,Locate Multiple Canvases on a Web Map,0.15678539240552677
Simplest Manifest - Audio,Annotation with a Non-Rectangular Polygon (Updated),0.106689606100478
Simplest Manifest - Audio,Simplest Annotation,0.23664259019307576
Simplest Manifest - Audio,Embedded or referenced Annotations,0.13661757576907432
Simplest Manifest - Audio,Missing Images in a Sequence,0.18243033050448274
Simplest Manifest - Audio,Addressing a Spatial Region,0.18517618713269782
Simplest Manifest - Audio,Image in Annotations,0.20931196163310672
Simplest Manifest - Video,Simplest Manifest - Single Image File,0.40313268896039767
Simplest Manifest - Video,Simplest Manifest - Audio,0.34817825305259503
Simplest Manifest - Video,Image and Canvas with Differing Dimensions,0.28059158124826206
Simplest Manifest - Video,Support Deep Viewing with Basic Use of a IIIF Image Service,0.25394501650374324
Simplest Manifest - Video,Internationalization and Multi-language Values,0.14915864327505518
Simplest Manifest - Video,Embedding HTML in descriptive properties,0.17223907761499072
Simplest Manifest - Video,Rights statement,0.17706299698686856
Simplest Manifest - Video,Simple Manifest - Book,0.24276630090773169
Simplest Manifest - Video,Viewing direction and Its Effect on Navigation,0.1860417097859337
Simplest Manifest - Video,"Book 'behavior' Variations (continuous, individuals)",0.20670782329084939
Simplest Manifest - Video,Load a Preview Image Before the Main Content,0.3177187970408971
Simplest Manifest - Video,Audio Presentation with Accompanying Image,0.22675227787920646
Simplest Manifest - Video,Begin playback at a specific point - Time-based media,0.27779095106546303
Simplest Manifest - Video,Providing Access to Transcript Files of A/V Content,0.29713348969037845
Simplest Manifest - Video,HTML in Annotations,0.1944127897248468
Simplest Manifest - Video,Simple Annotation — Tagging,0.22200889048342554
Simplest Manifest - Video,Table of Contents for Book Chapters,0.20700842594338195
Simplest Manifest - Video,Table of Contents for A/V Content,0.22054715035994646
Simplest Manifest - Video,Metadata on any Resource,0.14792624630674722
Simplest Manifest - Video,Multi-volume Work with Individually-bound Volumes,0.129839420420089
Simplest Manifest - Video,Multiple Volumes in a Single Bound Volume,0.18574149095882753
Simplest Manifest - Video,Simple Collection,0.17363280764589517
Simplest Manifest - Video,Providing Alternative Representations,0.2316684637696254
Simplest Manifest - Video,Linking to Web Page of an Object,0.2193320696220927
Simplest Manifest - Video,Linking to Structured Metadata,0.2341657469416977
Simplest Manifest - Video,Table of Contents for Multiple A/V Files on a Single Canvas,0.26977744969149425
Simplest Manifest - Video,Table of Contents for Multiple A/V Files on Multiple Canvases,0.2523244668375092
Simplest Manifest - Video,Basic Newspaper,0.1581927286396575
Simplest Manifest - Video,Using Caption and Subtitle Files in Multiple Languages with Video Content,0.21733237650447101
Simplest Manifest - Video,Image Thumbnail for Manifest,0.18564512118236998
Simplest Manifest - Video,Displaying Multiple Values with Language Maps,0.1728327717552106
Simplest Manifest - Video,Represent Canvas Fragment as a Geographic Area in a Web Mapping Client,0.17731686660148804
Simplest Manifest - Video,Locate a Manifest on a Web Map,0.1870065840366751
Simplest Manifest - Video,Load Manifest Beginning with a Specific Canvas,0.24339290311441844
Simplest Manifest - Video,Using Caption and Subtitle Files with Video Content,0.3249284126405851
Simplest Manifest - Video,Navigation by Chronology,0.10344842604004177
Simplest Manifest - Video,Acknowledge Content Contributors,0.15680012385430478
Simplest Manifest - Video,Locate Multiple Canvases on a Web Map,0.17818067739342366
Simplest Manifest - Video,Annotation with a Non-Rectangular Polygon (Updated),0.12072324098115315
Simplest Manifest - Video,Simplest Annotation,0.2672554692543317
Simplest Manifest - Video,Embedded or referenced Annotations,0.1517079247798536
Simplest Manifest - Video,Missing Images in a Sequence,0.20980037574139906
Simplest Manifest - Video,Addressing a Spatial Region,0.2102845440478907
Simplest Manifest - Video,Image in Annotations,0.23638739116613042
Image and Canvas with Differing Dimensions,Simplest Manifest - Single Image File,0.3175514683274945
Image and Canvas with Differing Dimensions,Simplest Manifest - Audio,0.20231098142966747
Image and Canvas with Differing Dimensions,Simplest Manifest - Video,0.28059158124826206
Image and Canvas with Differing Dimensions,Support Deep Viewing with Basic Use of a IIIF Image Service,0.3521207011095796
Image and Canvas with Differing Dimensions,Internationalization and Multi-language Values,0.19074845533943488
Image and Canvas with Differing Dimensions,Embedding HTML in descriptive properties,0.2220928980199616
Image and Canvas with Differing Dimensions,Rights statement,0.22849372013461786
Image and Canvas with Differing Dimensions,Simple Manifest - Book,0.2990386686451294
Image and Canvas with Differing Dimensions,Viewing direction and Its Effect on Navigation,0.23180508822448403
Image and Canvas with Differing Dimensions,"Book 'behavior' Variations (continuous, individuals)",0.2507290791817567
Image and Canvas with Differing Dimensions,Load a Preview Image Before the Main Content,0.3039922352832752
Image and Canvas with Differing Dimensions,Audio Presentation with Accompanying Image,0.24710556301900588
Image and Canvas with Differing Dimensions,Begin playback at a specific point - Time-based media,0.1929139046063792
Image and Canvas with Differing Dimensions,Providing Access to Transcript Files of A/V Content,0.23951086421787973
Image and Canvas with Differing Dimensions,HTML in Annotations,0.2340630318958559
Image and Canvas with Differing Dimensions,Simple Annotation — Tagging,0.2769257107957747
Image and Canvas with Differing Dimensions,Table of Contents for Book Chapters,0.2527228717471382
Image and Canvas with Differing Dimensions,Table of Contents for A/V Content,0.2583556806690879
Image and Canvas with Differing Dimensions,Metadata on any Resource,0.19722515654390574
Image and Canvas with Differing Dimensions,Multi-volume Work with Individually-bound Volumes,0.1410858629811608
Image and Canvas with Differing Dimensions,Multiple Volumes in a Single Bound Volume,0.2265729188882273
Image and Canvas with Differing Dimensions,Simple Collection,0.1869257702198074
Image and Canvas with Differing Dimensions,Providing Alternative Representations,0.28780332296927374
