Type,Value,Occurrences
JSON Path,label.en,171
JSON Path,items.items.items,197
JSON Path,items.items.items.type,197
JSON Path,items.items.items.body,197
JSON Path,items.items.id,197
JSON Path,type,223
JSON Path,items.items.items.id,197
JSON Path,items.items.items.body.format,196
JSON Path,items.width,185
JSON Path,items.items.items.body.id,197
JSON Path,items.items,197
JSON Path,items.height,185
JSON Path,@context,223
JSON Path,items.type,223
JSON Path,items.items.type,197
JSON Path,label,209
JSON Path,items.id,223
JSON Path,items.items.items.motivation,197
JSON Path,items,223
JSON Path,items.items.items.body.height,166
JSON Path,items.items.items.body.width,166
JSON Path,items.items.items.body.type,197
JSON Path,id,223
JSON Path,items.items.items.target,197
JSON Path,items.duration,38
JSON Path,items.items.items.body.duration,38
JSON Path,items.label.en,81
JSON Path,items.label,96
JSON Path,items.items.items.body.service.profile,135
JSON Path,items.items.items.body.service,135
JSON Path,items.items.items.body.service.id,135
JSON Path,items.items.items.body.service.type,135
JSON Path,summary.fr,12
JSON Path,summary.en,69
JSON Path,metadata.value.en,49
JSON Path,metadata.label.en,65
JSON Path,requiredStatement.label,52
JSON Path,metadata.value.fr,24
JSON Path,metadata.value,65
JSON Path,metadata,65
JSON Path,requiredStatement,52
JSON Path,requiredStatement.label.en,52
JSON Path,metadata.value.none,37
JSON Path,label.fr,24
JSON Path,requiredStatement.value.none,12
JSON Path,summary,69
JSON Path,requiredStatement.label.fr,12
JSON Path,requiredStatement.value,52
JSON Path,metadata.label,65
JSON Path,metadata.label.fr,12
JSON Path,requiredStatement.value.en,40
JSON Path,rights,36
JSON Path,behavior,25
JSON Path,viewingDirection,23
JSON Path,label.gez,4
JSON Path,label.ca,4
JSON Path,items.placeholderCanvas.items.id,4
JSON Path,items.placeholderCanvas.items.items,4
JSON Path,items.placeholderCanvas.width,4
JSON Path,items.placeholderCanvas.items.items.id,4
JSON Path,items.placeholderCanvas.items.items.target,4
JSON Path,items.placeholderCanvas.items.items.body,4
JSON Path,items.placeholderCanvas.type,4
JSON Path,items.placeholderCanvas.items.items.body.format,4
JSON Path,items.placeholderCanvas.items.items.type,4
JSON Path,items.placeholderCanvas.items.items.body.height,4
JSON Path,items.placeholderCanvas.items.items.body.width,4
JSON Path,items.placeholderCanvas.items.items.motivation,4
JSON Path,items.placeholderCanvas.id,4
JSON Path,items.placeholderCanvas.items,4
JSON Path,items.placeholderCanvas,4
JSON Path,items.placeholderCanvas.items.items.body.type,4
JSON Path,items.placeholderCanvas.height,4
JSON Path,items.placeholderCanvas.items.type,4
JSON Path,items.placeholderCanvas.items.items.body.id,4
JSON Path,items.accompanyingCanvas.label.en,2
JSON Path,items.accompanyingCanvas.items.id,2
JSON Path,items.accompanyingCanvas.height,2
JSON Path,items.accompanyingCanvas,2
JSON Path,items.accompanyingCanvas.items.items.body.format,2
JSON Path,items.accompanyingCanvas.items.items.body.service.id,2
JSON Path,items.accompanyingCanvas.id,2
JSON Path,items.accompanyingCanvas.items.items.body.service,2
JSON Path,items.accompanyingCanvas.label,2
JSON Path,items.accompanyingCanvas.items.items,2
JSON Path,items.accompanyingCanvas.items.items.body.width,2
JSON Path,items.accompanyingCanvas.items.items.body.id,2
JSON Path,items.accompanyingCanvas.items.items.body.service.profile,2
JSON Path,items.accompanyingCanvas.items.items.body.height,2
JSON Path,items.accompanyingCanvas.items,2
JSON Path,items.accompanyingCanvas.items.items.motivation,2
JSON Path,items.accompanyingCanvas.items.items.type,2
JSON Path,items.accompanyingCanvas.items.items.body.service.type,2
JSON Path,items.accompanyingCanvas.type,2
JSON Path,items.accompanyingCanvas.items.items.body,2
JSON Path,items.accompanyingCanvas.items.items.body.type,2
JSON Path,items.accompanyingCanvas.items.type,2
JSON Path,items.accompanyingCanvas.width,2
JSON Path,items.accompanyingCanvas.items.items.id,2
JSON Path,items.accompanyingCanvas.items.items.target,2
JSON Path,start.id,6
JSON Path,start.selector.type,2
JSON Path,start.type,6
JSON Path,start.source,2
JSON Path,start.selector,2
JSON Path,start,6
JSON Path,start.selector.t,2
JSON Path,items.rendering.label,9
JSON Path,items.rendering.label.en,9
JSON Path,items.rendering.format,9
JSON Path,items.rendering.id,9
JSON Path,items.rendering,9
JSON Path,items.rendering.type,9
JSON Path,items.annotations.items.body,13
JSON Path,items.annotations.items.id,13
JSON Path,items.annotations.type,21
JSON Path,items.annotations.items.motivation,13
JSON Path,items.annotations.items.body.format,11
JSON Path,items.annotations,21
JSON Path,items.annotations.items.body.type,13
JSON Path,items.annotations.items.body.value,9
JSON Path,items.annotations.items.target,13
JSON Path,items.annotations.items.type,13
JSON Path,items.annotations.items.body.language,11
JSON Path,items.annotations.items,13
JSON Path,items.annotations.id,21
JSON Path,structures.items.label,12
JSON Path,structures.items.items.label.en,10
JSON Path,structures.items.type,12
JSON Path,structures.id,12
JSON Path,structures.items.items,12
JSON Path,structures.items,12
JSON Path,structures,12
JSON Path,structures.items.label.gez,2
JSON Path,structures.items.id,12
JSON Path,structures.items.items.type,12
JSON Path,structures.items.items.label,10
JSON Path,structures.items.items.items,10
JSON Path,structures.items.items.items.type,10
JSON Path,structures.items.items.items.id,10
JSON Path,structures.type,12
JSON Path,structures.items.items.id,12
JSON Path,structures.label,12
JSON Path,structures.label.en,2
