name,mention_2017,mention_2018,mention_2019,mention_2020,mention_2021,mention_2022,mention_2023
docs.google.com,60,54,10,6,6,3,0
gist.github.com,5,0,0,0,0,0,0
www.peoplescollection.wales,1,0,0,0,0,0,0
iiif.io,45,32,29,26,22,9,6
github.com,96,104,69,65,77,2,6
groups.google.com,17,0,1,1,0,0,0
zimeon.github.io,6,0,0,0,0,0,0
html.spec.whatwg.org,1,0,0,0,0,0,0
www.youtube.com,1,0,0,0,0,1,0
wellcomelibrary.org,1,0,0,0,0,0,0
daten.digitale-sammlungen.de,1,0,0,0,0,0,0
digital.bodleian.ox.ac.uk,1,1,0,0,0,0,0
bit.ly,1,0,0,0,0,0,0
www.google.com,1,0,0,0,0,0,0
caniuse.com,1,0,0,0,0,0,0
www.slideshare.net,17,2,1,0,0,0,0
www.openarchives.org,17,5,0,2,1,0,0
www.w3.org,37,5,1,10,7,0,0
example.com,1,0,3,0,0,0,0
arxiv.org,3,0,0,0,0,0,0
developers.google.com,1,0,0,0,0,0,0
d.lib.ncsu.edu,1,1,0,0,0,0,0
2017iiifconferencethevatican.sched.com,1,0,0,0,0,0,0
pontiiif.brumfieldlabs.com,2,0,0,0,0,0,0
plum.princeton.edu,3,0,0,0,0,0,0
simssa.ca,3,0,0,0,0,0,0
musiclibs.net,3,0,0,0,0,0,0
"uri-indicating-iiif-resource""",1,0,0,0,0,0,0
www.artstor.org,1,0,0,0,0,0,0
dplafest2017.sched.com,1,0,0,0,0,0,0
goo.gl,5,0,0,1,0,0,0
schema.org,2,0,0,0,0,0,0
pending.schema.org,4,0,1,0,0,0,0
discovery_charter.iiif.io,2,0,0,0,0,0,0
centerfordigitalhumanities.github.io,2,0,2,0,0,0,0
preview.iiif.io,4,26,12,14,12,0,0
drive.google.com,1,18,3,0,0,0,0
52.204.112.237:3061,3,0,0,0,0,0,0
scrc.lib.ncsu.edu,2,0,0,0,0,0,0
mcgrattan.org,2,1,0,0,0,0,0
w3c.github.io,1,0,0,0,0,0,0
iiif.gdmrdigital.com,0,4,1,0,1,0,0
pro.europeana.eu,0,1,0,1,1,0,0
18.218.102.193,0,1,0,0,0,0,0
vocab.getty.edu,0,1,0,0,0,0,0
tinyurl.com,0,2,0,0,0,0,0
tomcrane.github.io,0,1,0,0,0,0,0
geojson.io,0,2,0,0,0,0,0
www.getty.edu,0,1,1,0,0,0,0
,0,0,2,0,0,0,0
researchworks.oclc.org,0,0,2,1,3,0,0
iiif.durham.ac.uk,0,0,5,3,3,0,0
fautedemieux.net,0,0,2,0,0,0,0
iiif.bodleian.ox.ac.uk,0,0,3,0,0,0,0
jeffreycwitt.com,0,0,2,0,0,0,0
inbox-docs.rerum.io)',0,0,1,0,0,0,0
blog.ongcdh.org,0,0,1,0,0,0,0
en.wikipedia.org,0,0,1,0,0,0,0
tools.ietf.org,0,0,4,0,1,0,0
services.w3.org,0,0,1,0,0,0,0
www.oclc.org',0,0,0,1,0,0,0
www.eventbrite.com,0,0,0,3,0,0,0
www.kulthura.de,0,0,0,1,0,0,0
viewer.goobi.io,0,0,0,1,0,0,0
orka.bibliothek.uni-kassel.de,0,0,0,1,0,0,0
goobi.io,0,0,0,1,0,0,0
w3.org,0,0,0,1,0,0,0
registry.iiif.io,0,0,0,2,1,0,0
dams.llgc.org.uk,0,0,0,3,0,0,0
twitter.com,0,0,0,0,3,0,0
iiif4research.gla.ac.uk,0,0,0,0,1,0,0
tom-crane.medium.com,0,0,0,0,2,0,0
www.iana.org,0,0,0,0,1,0,0
"IIIFCONTEXTHERE""'",0,0,0,0,2,0,0
IIIFCONTEXTHERE',0,0,0,0,2,0,0
IIIFCONTEXTHERE”',0,0,0,0,2,0,0
guides.iiif.io,0,0,0,0,1,0,0
opentexts.world,0,0,0,0,2,0,0
ryanfb.github.io,0,0,0,0,1,0,0
digitalcollections.universiteitleiden.nl,0,0,0,0,2,0,0
ycba-cds-iiif.s3.amazonaws.com,0,0,0,0,1,0,0
media.art.yale.edu,0,0,0,0,1,0,0
images.peabody.yale.edu,0,0,0,0,1,0,0
base64url.herokuapp.com,0,0,0,0,2,0,0
forms.gle,0,0,0,0,0,1,0
tomdeneire.github.io,0,0,0,0,0,1,0
