id,slug,recipe,topic,viewer,support,property
1,0001-mvm-image,Simplest Manifest - Single Image File,"['basic', 'image']",Mirador,Yes,
1,0001-mvm-image,Simplest Manifest - Single Image File,"['basic', 'image']",UV,Yes,
1,0001-mvm-image,Simplest Manifest - Single Image File,"['basic', 'image']",Annona,Yes,
1,0001-mvm-image,Simplest Manifest - Single Image File,"['basic', 'image']",Clover,Yes,
2,0002-mvm-audio,Simplest Manifest - Audio,"['basic', 'AV']",Mirador,Yes,
2,0002-mvm-audio,Simplest Manifest - Audio,"['basic', 'AV']",UV,Yes,
2,0002-mvm-audio,Simplest Manifest - Audio,"['basic', 'AV']",Clover,Yes,
2,0002-mvm-audio,Simplest Manifest - Audio,"['basic', 'AV']",Ramp,Yes,
3,0003-mvm-video,Simplest Manifest - Video,"['basic', 'AV']",Mirador,Yes,
3,0003-mvm-video,Simplest Manifest - Video,"['basic', 'AV']",UV,Yes,
3,0003-mvm-video,Simplest Manifest - Video,"['basic', 'AV']",Clover,Yes,
3,0003-mvm-video,Simplest Manifest - Video,"['basic', 'AV']",Ramp,Yes,
4,0004-canvas-size,Image and Canvas with Differing Dimensions,image,UV,Yes,
4,0004-canvas-size,Image and Canvas with Differing Dimensions,image,Mirador,Yes,
4,0004-canvas-size,Image and Canvas with Differing Dimensions,image,Annona,Yes,
5,0005-image-service,Support Deep Viewing with Basic Use of a IIIF Image Service,"['basic', 'image']",Mirador,Yes,
5,0005-image-service,Support Deep Viewing with Basic Use of a IIIF Image Service,"['basic', 'image']",Annona,Yes,
5,0005-image-service,Support Deep Viewing with Basic Use of a IIIF Image Service,"['basic', 'image']",Clover,Yes,
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,l
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,l
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,l
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,b
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,b
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,b
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,l
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,l
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,l
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,","
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,","
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,","
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes, 
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes, 
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes, 
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,s
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,s
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,s
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,u
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,u
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,u
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,r
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,r
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,r
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,y
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,y
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,y
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,","
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,","
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,","
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes, 
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes, 
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes, 
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,t
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,t
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,t
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,d
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,d
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,d
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,a
